      Lon      Lat    Year   SID   PID    Px    Py Pheight   IID   PFT Age     Pos  Height  Boleht    Diam    CrownA   DensI     LAI     GPP   GPPns   GPPno   Cmass
    13.25    55.75    1801     0     0     1     1       0   218     4  38  0.0990 13.2535  6.6268  0.1050    6.7890  0.0190  5.3054  0.1320  0.2108  0.2385  0.4894
    13.25    55.75    1801     0     0     1     1       0   228     1  23  0.2148  3.4222  1.7111  0.0139    0.1606  0.0030  0.1644  0.0000  0.0000  0.0000  0.0003
    13.25    55.75    1801     0     0     1     1       0   229     4  23  0.2067  7.8106  3.9053  0.0477    1.9204  0.0930  3.4330  0.0904  0.1352  0.1382  0.3071
    13.25    55.75    1801     0     0     1     1       0   233     0  13  0.8301  3.3271  1.6636  0.0133    0.1501  0.0060  1.9001  0.0004  0.0005  0.0005  0.0009
    13.25    55.75    1801     0     0     1     1       0   235     4  13  0.0366  3.2770  1.6385  0.0130    0.2394  0.1070  0.0009  0.0000  0.0000  0.0000  0.0082
    13.25    55.75    1801     0     0     1     1       0   237     0   8  0.4317  2.9046  1.4523  0.0106    0.1046  0.0040  0.0714  0.0000  0.0000  0.0000  0.0002
    13.25    55.75    1801     0     0     1     1       0   239     0   3  0.8366  2.7448  1.3724  0.0100    0.0948  0.0010  2.0470  0.0000  0.0000  0.0001  0.0001
    13.25    55.75    1801     0     0     1     1       0   240     4   3  0.0302  3.1828  1.5914  0.0125    0.2251  0.0050  2.6109  0.0006  0.0011  0.0017  0.0006
    13.25    55.75    1801     0     1     2     1      10   178    10   0  0.0000  0.0000  0.0000  0.0000    1.0000  1.0000  1.2189  0.1859  0.2201  0.4448  0.1419
    13.25    55.75    1801     0     1     2     1      10   211     4  13  0.3524  5.9023  2.9511  0.0314    0.9837  0.0010  4.2518  0.0009  0.0010  0.0016  0.0012
    13.25    55.75    1801     0     1     2     1      10   216     0   3  0.8890  4.2588  2.1294  0.0193    0.2707  0.0750  4.9436  0.0213  0.0231  0.0238  0.0402
    13.25    55.75    1801     0     1     2     1      10   217     1   3  0.9948  4.3512  2.1756  0.0199    0.2850  0.8520  4.6488  0.3768  0.4375  0.5125  0.4732
    13.25    55.75    1801     0     1     2     1      10   218     4   3  0.3359  4.5052  2.2526  0.0210    0.5161  0.7770  3.7520  0.3299  0.3830  0.6750  0.3574
    13.25    55.75    1801     0     1     2     1      10   219     5   3  0.5150  4.7154  2.3577  0.0225    0.5755  0.0190  3.6320  0.0085  0.0096  0.0127  0.0101
    13.25    55.75    1801     0     2     1     2      10    80     0 298  0.6921 30.5209 15.2604  0.3646   29.8583  0.0020  3.5123  0.0740  0.1049  0.1183  1.3207
    13.25    55.75    1801     0     2     1     2      10    81     1 298  0.0596 38.3777 19.1888  0.5133   51.5982  0.0040  1.5334  0.1537  0.2165  0.2565  6.4216
    13.25    55.75    1801     0     2     1     2      10    82     1 298  0.2646 37.5442 18.7721  0.4967   48.9623  0.0030  1.4885  0.1059  0.1483  0.1742  4.4129
    13.25    55.75    1801     0     2     1     2      10    86     4 298  0.4700 47.1457 23.5729  0.6978  140.5689  0.0020  2.2420  0.1982  0.3192  0.3906  7.2607
    13.25    55.75    1801     0     2     1     2      10    87     4 298  0.8485 46.5875 23.2937  0.6855  136.6265  0.0010  2.2975  0.0978  0.1577  0.1929  3.4631
    13.25    55.75    1801     0     2     1     2      10   152     4 188  0.0535 16.6402  8.3201  0.1475   11.6899  0.0180  2.7661  0.1101  0.1649  0.1679  1.0682
    13.25    55.75    1801     0     2     1     2      10   164     4 163  0.2638 17.2109  8.6055  0.1551   12.6702  0.0150  2.5341  0.0969  0.1450  0.1483  1.0128
    13.25    55.75    1801     0     2     1     2      10   183     1 128  0.6261 12.4193  6.2096  0.0953    3.4876  0.0200  2.8345  0.0704  0.0956  0.1050  0.3973
    13.25    55.75    1801     0     2     1     2      10   214     4  78  0.3944  4.1416  2.0708  0.0185    0.4221  0.0010  1.6984  0.0001  0.0001  0.0001  0.0003
    13.25    55.75    1801     0     2     1     2      10   217     0  68  0.4028  3.6596  1.8298  0.0154    0.1885  0.0010  1.7019  0.0001  0.0001  0.0001  0.0002
    13.25    55.75    1801     0     2     1     2      10   218     4  68  0.5077  4.1037  2.0519  0.0182    0.4130  0.0050  1.7871  0.0004  0.0007  0.0007  0.0014
    13.25    55.75    1801     0     2     1     2      10   219     0  63  0.5824  4.8371  2.4186  0.0233    0.3669  0.0120  0.2549  0.0003  0.0003  0.0004  0.0052
    13.25    55.75    1801     0     2     1     2      10   220     1  63  0.5765  4.2490  2.1245  0.0192    0.2691  0.0020  0.0629  0.0000  0.0000  0.0000  0.0005
    13.25    55.75    1801     0     2     1     2      10   221     4  63  0.5858  6.4144  3.2072  0.0355    1.1999  0.1140  1.4349  0.0221  0.0368  0.0372  0.1599
    13.25    55.75    1801     0     2     1     2      10   224     1  58  0.9146  9.3917  4.6959  0.0628    1.7895  0.0540  2.6241  0.0718  0.0901  0.0957  0.3694
    13.25    55.75    1801     0     2     1     2      10   225     4  58  0.7884  6.9826  3.4913  0.0403    1.4695  0.1690  2.3755  0.0888  0.1387  0.1414  0.3476
    13.25    55.75    1801     0     2     1     2      10   227     0  53  0.9472  4.1234  2.0617  0.0175    0.2312  0.0180  0.0001  0.0000  0.0000  0.0000  0.0031
    13.25    55.75    1801     0     2     1     2      10   231     4  48  0.4734  3.9227  1.9614  0.0171    0.3708  0.0050  1.8086  0.0004  0.0006  0.0007  0.0012
    13.25    55.75    1801     0     2     1     2      10   234    10   0  0.0000  0.0000  0.0000  0.0000    1.0000  1.0000  0.0000  0.0000  0.0000  0.0000  0.0000
    13.25    55.75    1801     0     2     1     2      10   236     4  38  0.1714  7.8223  3.9111  0.0478    1.9273  0.0160  3.4830  0.0145  0.0210  0.0214  0.0532
    13.25    55.75    1801     0     2     1     2      10   239     0  28  0.4453  3.1945  1.5972  0.0126    0.1362  0.0080  1.9045  0.0005  0.0006  0.0006  0.0011
    13.25    55.75    1801     0     2     1     2      10   241     0  23  0.7742  3.4770  1.7385  0.0143    0.1668  0.0110  1.6475  0.0006  0.0008  0.0009  0.0019
    13.25    55.75    1801     0     2     1     2      10   243     4  23  0.7719  3.6132  1.8066  0.0151    0.3047  0.1040  1.1489  0.0038  0.0061  0.0063  0.0157
    13.25    55.75    1801     0     2     1     2      10   246     0  13  0.4692  2.8960  1.4480  0.0108    0.1078  0.0050  2.0233  0.0002  0.0003  0.0003  0.0005
    13.25    55.75    1801     0     2     1     2      10   247     4  13  0.4031  2.8901  1.4450  0.0108    0.1788  0.0150  1.8988  0.0006  0.0009  0.0009  0.0012
    13.25    55.75    1801     0     2     1     2      10   248     0   8  0.9291  2.7316  1.3658  0.0099    0.0937  0.0070  1.5386  0.0002  0.0003  0.0003  0.0004
    13.25    55.75    1801     0     2     1     2      10   249     4   8  0.4653  2.8711  1.4355  0.0107    0.1760  0.0160  2.0515  0.0006  0.0010  0.0011  0.0012
    13.25    55.75    1801     0     2     1     2      10   250     0   3  0.3712  2.7731  1.3866  0.0102    0.0972  0.0050  3.3387  0.0003  0.0004  0.0004  0.0005
    13.25    55.75    1801     0     2     1     2      10   251     1   3  0.9462  2.7731  1.3866  0.0102    0.0972  0.0010  2.4858  0.0000  0.0001  0.0001  0.0001
    13.25    55.75    1801     0     2     1     2      10   252     4   3  0.3944  2.6993  1.3496  0.0098    0.1519  0.0250  2.3081  0.0009  0.0014  0.0014  0.0015
    13.25    55.75    1801     0     3     2     2      20   144    10   0  0.0000  0.0000  0.0000  0.0000    1.0000  1.0000  0.0124  0.0101  0.0104  0.0146  0.0014
    13.25    55.75    1801     0     3     2     2      20   210     0   8  0.3149  5.4038  2.7019  0.0275    0.4781  0.0050  5.4072  0.0050  0.0050  0.0054  0.0060
    13.25    55.75    1801     0     3     2     2      20   212     4   8  0.5716  7.5490  3.7745  0.0453    1.7703  0.0470  4.9684  0.1301  0.1318  0.1524  0.1462
    13.25    55.75    1801     0     3     2     2      20   213     0   3  0.7884  4.2617  2.1309  0.0193    0.2712  0.0560  4.9995  0.0308  0.0309  0.0339  0.0303
    13.25    55.75    1801     0     3     2     2      20   214     1   3  0.0213  3.6847  1.8423  0.0155    0.1916  0.6690  3.9145  0.0979  0.0994  0.1057  0.2009
    13.25    55.75    1801     0     3     2     2      20   215     4   3  0.0158  4.6792  2.3396  0.0222    0.5650  0.5150  3.8607  0.3864  0.3896  0.4594  0.2721
    13.25    55.75    1801     0     3     2     2      20   216     5   3  0.0918  5.0032  2.5016  0.0245    0.6629  0.0160  3.7975  0.0118  0.0121  0.0132  0.0107
    13.25    55.75    1802     0     0     1     1       0    84     1 299  0.4211 38.8545 19.4272  0.5228   53.1422  0.0010  1.4805  0.0498  0.0536  0.0655  1.6858
    13.25    55.75    1802     0     0     1     1       0    85     1 299  0.6048 35.0822 17.5411  0.4489   41.6410  0.0020  1.7781  0.0890  0.0959  0.1162  2.2540
    13.25    55.75    1802     0     0     1     1       0    86     1 299  0.7634 26.0256 13.0128  0.2875   20.4090  0.0030  2.2820  0.0766  0.0828  0.0997  1.0448
    13.25    55.75    1802     0     0     1     1       0    97     4 294  0.9360 41.2570 20.6285  0.5718  102.2149  0.0010  3.0022  0.1167  0.1306  0.1572  2.1433
    13.25    55.75    1802     0     0     1     1       0   139     0 219  0.9395  3.7487  1.8744  0.0159    0.1996  0.0020  0.3285  0.0000  0.0000  0.0000  0.0003
    13.25    55.75    1802     0     0     1     1       0   153    10   0  0.0000  0.0000  0.0000  0.0000    1.0000  1.0000  0.0010  0.0005  0.0005  0.0006  0.0001
    13.25    55.75    1802     0     0     1     1       0   162     4 159  0.4693 16.9157  8.4578  0.1511   12.1573  0.0050  3.1317  0.0598  0.0652  0.0724  0.3186
    13.25    55.75    1802     0     0     1     1       0   172     4 129  0.4204 14.0944  7.0472  0.1151    7.8633  0.0040  1.3069  0.0054  0.0080  0.0080  0.1188
    13.25    55.75    1802     0     0     1     1       0   190     4  89  0.5583 14.0077  7.0039  0.1140    7.7483  0.0350  3.4048  0.2054  0.2358  0.2426  1.0753
    13.25    55.75    1802     0     0     1     1       0   204     4  59  0.3272 15.5610  7.7805  0.1334    9.9601  0.0180  4.7602  0.2355  0.2644  0.2972  0.8515
    13.25    55.75    1802     0     0     1     1       0   210     4  49  0.6996 14.1055  7.0527  0.1152    7.8780  0.0180  3.7799  0.1246  0.1386  0.1436  0.5724
    13.25    55.75    1802     0     0     1     1       0   213     1  44  0.7877  4.5321  2.2661  0.0210    0.3114  0.0010  0.0107  0.0000  0.0000  0.0000  0.0003
    13.25    55.75    1802     0     0     1     1       0   214     4  44  0.7647  6.6502  3.3251  0.0375    1.3079  0.1550  2.3300  0.0929  0.1179  0.1219  0.2655
    13.25    55.75    1802     0     0     1     1       0   216     0  39  0.0845  3.8824  1.9412  0.0168    0.2174  0.0130  0.0002  0.0000  0.0000  0.0000  0.0022
    13.25    55.75    1802     0     0     1     1       0   217     1  39  0.0923  5.2171  2.6086  0.0259    0.4346  0.0010  0.0018  0.0000  0.0000  0.0000  0.0005
    13.25    55.75    1802     0     0     1     1       0   218     4  39  0.0990 13.3606  6.6803  0.1063    6.9207  0.0160  5.1462  0.1538  0.1740  0.1988  0.4247
    13.25    55.75    1802     0     0     1     1       0   228     1  24  0.2148  3.4222  1.7111  0.0133    0.1500  0.0020  0.1610  0.0000  0.0000  0.0000  0.0002
    13.25    55.75    1802     0     0     1     1       0   229     4  24  0.2067  7.8284  3.9142  0.0479    1.9309  0.0930  3.2871  0.1213  0.1407  0.1460  0.3090
    13.25    55.75    1802     0     0     1     1       0   233     0  14  0.8301  3.3271  1.6636  0.0133    0.1501  0.0060  1.7964  0.0004  0.0005  0.0005  0.0009
    13.25    55.75    1802     0     0     1     1       0   237     0   9  0.4317  2.9046  1.4523  0.0106    0.1046  0.0040  0.0335  0.0000  0.0000  0.0000  0.0002
    13.25    55.75    1802     0     0     1     1       0   239     0   4  0.8366  2.7448  1.3724  0.0100    0.0948  0.0010  1.9258  0.0000  0.0000  0.0001  0.0001
    13.25    55.75    1802     0     0     1     1       0   240     4   4  0.0302  3.3990  1.6995  0.0138    0.2633  0.0050  2.7954  0.0012  0.0014  0.0020  0.0008
    13.25    55.75    1802     0     1     2     1      10   178    10   0  0.0000  0.0000  0.0000  0.0000    1.0000  1.0000  1.0298  0.3455  0.3800  0.4725  0.1275
    13.25    55.75    1802     0     1     2     1      10   211     4  14  0.3524  6.1884  3.0942  0.0337    1.1014  0.0010  4.2742  0.0010  0.0010  0.0017  0.0015
    13.25    55.75    1802     0     1     2     1      10   216     0   4  0.8890  4.2588  2.1294  0.0193    0.2707  0.0750  4.6953  0.0191  0.0197  0.0199  0.0395
    13.25    55.75    1802     0     1     2     1      10   217     1   4  0.9948  4.5794  2.2897  0.0215    0.3220  0.8500  4.5627  0.4568  0.4751  0.5625  0.5565
    13.25    55.75    1802     0     1     2     1      10   218     4   4  0.3359  4.8257  2.4129  0.0232    0.6081  0.7770  3.8286  0.4034  0.4268  0.7590  0.4610
    13.25    55.75    1802     0     1     2     1      10   219     5   4  0.5150  5.0314  2.5157  0.0247    0.6719  0.0160  3.6110  0.0083  0.0089  0.0126  0.0108
    13.25    55.75    1802     0     2     1     2      10    80     0 299  0.6921 30.5422 15.2711  0.3650   29.9083  0.0020  3.3778  0.0924  0.1021  0.1184  1.3238
    13.25    55.75    1802     0     2     1     2      10    81     1 299  0.0596 38.4210 19.2105  0.5141   51.7372  0.0040  1.4645  0.1880  0.2072  0.2530  6.4490
    13.25    55.75    1802     0     2     1     2      10    82     1 299  0.2646 37.5871 18.7936  0.4976   49.0961  0.0030  1.4243  0.1294  0.1421  0.1721  4.4321
    13.25    55.75    1802     0     2     1     2      10    86     4 299  0.4700 47.1590 23.5795  0.6981  140.6631  0.0020  2.1462  0.2600  0.2985  0.3697  7.2681
    13.25    55.75    1802     0     2     1     2      10    87     4 299  0.8485 46.6005 23.3002  0.6858  136.7177  0.0010  2.1988  0.1283  0.1475  0.1827  3.4666
    13.25    55.75    1802     0     2     1     2      10   152     4 189  0.0535 16.6561  8.3281  0.1477   11.7166  0.0180  2.6551  0.1409  0.1604  0.1648  1.0719
    13.25    55.75    1802     0     2     1     2      10   164     4 164  0.2638 17.2404  8.6202  0.1555   12.7221  0.0150  2.4524  0.1240  0.1412  0.1458  1.0192
    13.25    55.75    1802     0     2     1     2      10   183     1 129  0.6261 12.5140  6.2570  0.0964    3.5514  0.0200  2.7945  0.0891  0.0965  0.1081  0.4097
    13.25    55.75    1802     0     2     1     2      10   214     4  79  0.3944  4.1416  2.0708  0.0185    0.4221  0.0010  1.5930  0.0001  0.0001  0.0001  0.0003
    13.25    55.75    1802     0     2     1     2      10   217     0  69  0.4028  3.6624  1.8312  0.0154    0.1888  0.0010  1.6270  0.0001  0.0001  0.0001  0.0002
    13.25    55.75    1802     0     2     1     2      10   218     4  69  0.5077  4.1037  2.0519  0.0182    0.4130  0.0050  1.6869  0.0005  0.0007  0.0007  0.0013
    13.25    55.75    1802     0     2     1     2      10   219     0  64  0.5824  4.8819  2.4409  0.0236    0.3751  0.0120  0.2446  0.0003  0.0004  0.0004  0.0052
    13.25    55.75    1802     0     2     1     2      10   220     1  64  0.5765  4.2490  2.1245  0.0192    0.2693  0.0020  0.0601  0.0000  0.0000  0.0000  0.0005
    13.25    55.75    1802     0     2     1     2      10   221     4  64  0.5858  6.4144  3.2072  0.0355    1.1999  0.1140  1.3186  0.0235  0.0355  0.0358  0.1571
    13.25    55.75    1802     0     2     1     2      10   224     1  59  0.9146  9.4353  4.7177  0.0632    1.8094  0.0540  2.4870  0.0830  0.0901  0.0964  0.3745
    13.25    55.75    1802     0     2     1     2      10   225     4  59  0.7884  7.0065  3.5033  0.0405    1.4816  0.1690  2.3011  0.1098  0.1376  0.1397  0.3519
    13.25    55.75    1802     0     2     1     2      10   227     0  54  0.9472  4.1234  2.0617  0.0175    0.2312  0.0180  0.0001  0.0000  0.0000  0.0000  0.0031
    13.25    55.75    1802     0     2     1     2      10   231     4  49  0.4734  3.9227  1.9614  0.0171    0.3708  0.0050  1.7073  0.0005  0.0006  0.0007  0.0011
    13.25    55.75    1802     0     2     1     2      10   234    10   0  0.0000  0.0000  0.0000  0.0000    1.0000  1.0000  0.0000  0.0000  0.0000  0.0000  0.0000
    13.25    55.75    1802     0     2     1     2      10   236     4  39  0.1714  7.8223  3.9111  0.0478    1.9273  0.0160  3.2809  0.0163  0.0199  0.0203  0.0527
    13.25    55.75    1802     0     2     1     2      10   239     0  29  0.4453  3.1902  1.5951  0.0125    0.1358  0.0080  1.8298  0.0005  0.0006  0.0007  0.0011
    13.25    55.75    1802     0     2     1     2      10   241     0  24  0.7742  3.4770  1.7385  0.0143    0.1668  0.0110  1.5518  0.0007  0.0008  0.0009  0.0018
    13.25    55.75    1802     0     2     1     2      10   243     4  24  0.7719  3.6132  1.8066  0.0151    0.3047  0.1040  1.0643  0.0039  0.0060  0.0062  0.0153
    13.25    55.75    1802     0     2     1     2      10   246     0  14  0.4692  2.8960  1.4480  0.0108    0.1078  0.0050  1.9184  0.0003  0.0003  0.0003  0.0005
    13.25    55.75    1802     0     2     1     2      10   247     4  14  0.4031  2.8901  1.4450  0.0108    0.1788  0.0150  1.7829  0.0006  0.0009  0.0010  0.0012
    13.25    55.75    1802     0     2     1     2      10   248     0   9  0.9291  2.7316  1.3658  0.0099    0.0937  0.0070  1.2545  0.0002  0.0002  0.0002  0.0004
    13.25    55.75    1802     0     2     1     2      10   249     4   9  0.4653  2.8711  1.4355  0.0107    0.1760  0.0160  1.9207  0.0008  0.0010  0.0011  0.0012
    13.25    55.75    1802     0     2     1     2      10   250     0   4  0.3712  2.7731  1.3866  0.0102    0.0972  0.0050  2.8095  0.0003  0.0004  0.0004  0.0005
    13.25    55.75    1802     0     2     1     2      10   251     1   4  0.9462  2.7731  1.3866  0.0102    0.0972  0.0010  1.8360  0.0000  0.0000  0.0000  0.0001
    13.25    55.75    1802     0     2     1     2      10   252     4   4  0.3944  2.6993  1.3496  0.0098    0.1519  0.0250  2.0980  0.0010  0.0014  0.0014  0.0014
    13.25    55.75    1802     0     3     2     2      20   144    10   0  0.0000  0.0000  0.0000  0.0000    1.0000  1.0000  0.0541  0.0422  0.0436  0.0619  0.0063
    13.25    55.75    1802     0     3     2     2      20   210     0   9  0.3149  5.7300  2.8650  0.0300    0.5499  0.0050  5.5497  0.0057  0.0057  0.0064  0.0073
    13.25    55.75    1802     0     3     2     2      20   212     4   9  0.5716  8.1549  4.0775  0.0509    2.1288  0.0420  5.1517  0.1349  0.1375  0.1610  0.1745
    13.25    55.75    1802     0     3     2     2      20   213     0   4  0.7884  4.6114  2.3057  0.0217    0.3274  0.0560  5.1593  0.0372  0.0374  0.0419  0.0395
    13.25    55.75    1802     0     3     2     2      20   214     1   4  0.0213  3.6901  1.8451  0.0156    0.1923  0.6500  3.5096  0.0727  0.0738  0.0794  0.1848
    13.25    55.75    1802     0     3     2     2      20   215     4   4  0.0158  5.3184  2.6592  0.0269    0.7670  0.5150  4.1480  0.5139  0.5212  0.6522  0.4358
    13.25    55.75    1802     0     3     2     2      20   216     5   4  0.0918  5.5287  2.7643  0.0285    0.8415  0.0140  3.9217  0.0122  0.0125  0.0139  0.0134
    13.25    55.75    1803     0     0     1     1       0    84     1 300  0.4211 38.9453 19.4727  0.5246   53.4395  0.0010  1.5093  0.0426  0.0566  0.0686  1.7013
    13.25    55.75    1803     0     0     1     1       0    85     1 300  0.6048 35.1899 17.5949  0.4510   41.9466  0.0020  1.8146  0.0764  0.1014  0.1220  2.2812
    13.25    55.75    1803     0     0     1     1       0    86     1 300  0.7634 26.1714 13.0857  0.2899   20.6831  0.0030  2.3659  0.0663  0.0885  0.1061  1.0681
    13.25    55.75    1803     0     0     1     1       0    97     4 295  0.9360 41.4132 20.7066  0.5750  103.1416  0.0010  3.0420  0.0979  0.1434  0.1738  2.1753
    13.25    55.75    1803     0     0     1     1       0   139     0 220  0.9395  3.7697  1.8849  0.0161    0.2023  0.0020  0.3365  0.0000  0.0000  0.0000  0.0003
    13.25    55.75    1803     0     0     1     1       0   153    10   0  0.0000  0.0000  0.0000  0.0000    1.0000  1.0000  0.0024  0.0007  0.0008  0.0010  0.0003
    13.25    55.75    1803     0     0     1     1       0   162     4 160  0.4693 17.1644  8.5822  0.1544   12.5886  0.0050  3.3368  0.0539  0.0758  0.0839  0.3378
    13.25    55.75    1803     0     0     1     1       0   172     4 130  0.4204 14.0944  7.0472  0.1151    7.8633  0.0040  1.1508  0.0034  0.0055  0.0055  0.1178
    13.25    55.75    1803     0     0     1     1       0   190     4  90  0.5583 14.1355  7.0678  0.1156    7.9181  0.0350  3.4195  0.1846  0.2550  0.2611  1.1118
    13.25    55.75    1803     0     0     1     1       0   204     4  60  0.3272 15.8605  7.9303  0.1373   10.4241  0.0180  4.8616  0.2048  0.3000  0.3360  0.9156
    13.25    55.75    1803     0     0     1     1       0   210     4  50  0.6996 14.2679  7.1340  0.1172    8.0964  0.0180  3.8099  0.1089  0.1507  0.1552  0.5972
    13.25    55.75    1803     0     0     1     1       0   213     1  45  0.7877  4.5321  2.2661  0.0210    0.3113  0.0010  0.0073  0.0000  0.0000  0.0000  0.0003
    13.25    55.75    1803     0     0     1     1       0   214     4  45  0.7647  6.7700  3.3850  0.0385    1.3649  0.1440  2.4293  0.0851  0.1237  0.1278  0.2639
    13.25    55.75    1803     0     0     1     1       0   216     0  40  0.0845  3.8824  1.9412  0.0168    0.2174  0.0130  0.0001  0.0000  0.0000  0.0000  0.0022
    13.25    55.75    1803     0     0     1     1       0   217     1  40  0.0923  5.2171  2.6086  0.0259    0.4346  0.0010  0.0012  0.0000  0.0000  0.0000  0.0005
    13.25    55.75    1803     0     0     1     1       0   218     4  40  0.0990 13.7066  6.8533  0.1104    7.3563  0.0160  5.2395  0.1363  0.2021  0.2303  0.4676
    13.25    55.75    1803     0     0     1     1       0   228     1  25  0.2148  3.4222  1.7111  0.0134    0.1504  0.0020  0.1585  0.0000  0.0000  0.0000  0.0002
    13.25    55.75    1803     0     0     1     1       0   229     4  25  0.2067  7.9956  3.9978  0.0494    2.0308  0.0900  3.3666  0.1017  0.1433  0.1471  0.3234
    13.25    55.75    1803     0     0     1     1       0   233     0  15  0.8301  3.3509  1.6755  0.0135    0.1527  0.0060  1.7811  0.0004  0.0004  0.0005  0.0009
    13.25    55.75    1803     0     0     1     1       0   237     0  10  0.4317  2.9046  1.4523  0.0106    0.1044  0.0030  0.0228  0.0000  0.0000  0.0000  0.0001
    13.25    55.75    1803     0     0     1     1       0   239     0   5  0.8366  2.7607  1.3803  0.0101    0.0961  0.0010  1.8930  0.0000  0.0000  0.0001  0.0001
    13.25    55.75    1803     0     0     1     1       0   240     4   5  0.0302  3.8862  1.9431  0.0168    0.3626  0.0050  3.1863  0.0014  0.0020  0.0031  0.0013
    13.25    55.75    1803     0     1     2     1      10   178    10   0  0.0000  0.0000  0.0000  0.0000    1.0000  1.0000  1.7798  0.1608  0.1901  0.2431  0.2108
    13.25    55.75    1803     0     1     2     1      10   211     4  15  0.3524  6.4721  3.2360  0.0360    1.2258  0.0010  4.3053  0.0009  0.0011  0.0020  0.0017
    13.25    55.75    1803     0     1     2     1      10   216     0   5  0.8890  4.2588  2.1294  0.0193    0.2707  0.0750  4.4393  0.0145  0.0162  0.0162  0.0377
    13.25    55.75    1803     0     1     2     1      10   217     1   5  0.9948  4.8673  2.4336  0.0235    0.3724  0.8450  4.5960  0.4241  0.5235  0.6156  0.6702
    13.25    55.75    1803     0     1     2     1      10   218     4   5  0.3359  5.1650  2.5825  0.0257    0.7152  0.7770  3.9175  0.3957  0.4771  0.9422  0.5890
    13.25    55.75    1803     0     1     2     1      10   219     5   5  0.5150  5.3504  2.6752  0.0271    0.7781  0.0130  3.6039  0.0067  0.0080  0.0121  0.0109
    13.25    55.75    1803     0     2     1     2      10    80     0 300  0.6921 30.6572 15.3286  0.3671   30.1778  0.0020  3.4290  0.0815  0.1073  0.1236  1.3428
    13.25    55.75    1803     0     2     1     2      10    81     1 300  0.0596 38.5082 19.2541  0.5159   52.0182  0.0040  1.4883  0.1666  0.2179  0.2647  6.5062
    13.25    55.75    1803     0     2     1     2      10    82     1 300  0.2646 37.6725 18.8362  0.4993   49.3629  0.0030  1.4502  0.1148  0.1493  0.1794  4.4715
    13.25    55.75    1803     0     2     1     2      10    86     4 300  0.4700 47.2642 23.6321  0.7004  141.4140  0.0020  2.1679  0.2274  0.3264  0.4078  7.3316
    13.25    55.75    1803     0     2     1     2      10   152     4 190  0.0535 16.7754  8.3877  0.1492   11.9179  0.0180  2.7063  0.1252  0.1786  0.1834  1.1014
    13.25    55.75    1803     0     2     1     2      10   164     4 165  0.2638 17.3612  8.6806  0.1571   12.9360  0.0150  2.5230  0.1102  0.1571  0.1620  1.0475
    13.25    55.75    1803     0     2     1     2      10   183     1 130  0.6261 12.6992  6.3496  0.0985    3.6783  0.0200  2.9798  0.0818  0.1038  0.1151  0.4348
